name,city,price,checkin,checkout,rating,plan,star_rating,check_in,check_out,rooms,restaurants,bars
Holiday Inn & Suites Across From Universal Orlando,Universal Orlando Resort,976,"Check-in: Mar 23, 2025","Check-out: Mar 28, 2025",3.5,European,6,4:00 p.m.,11:00 a.m.,390.0,1.0,0.0
Disney's All-star Movies Resort,Disney's Animal Kingdom Resort Area,994,"Check-in: Mar 30, 2025","Check-out: Apr 4, 2025",4.0,European,6,3:00 p.m.,11:00 a.m.,1920.0,1.0,1.0
Universal Endless Summer Resort - Surfside Inn And Suites,Universal Studios Orlando,1000,"Check-in: Mar 30, 2025","Check-out: Apr 4, 2025",4.0,European,6,4:00 p.m.,11:00 a.m.,750.0,3.0,1.0
Doubletree By Hilton At The Entrance To Universal Orlando,Orlando,1021,"Check-in: Mar 21, 2025","Check-out: Mar 26, 2025",4.0,European,7,4:00 p.m.,11:00 a.m.,742.0,4.0,1.0
Universal Stella Nova Resort,Universal Orlando,1058,"Check-in: Mar 30, 2025","Check-out: Apr 4, 2025",4.0,European,7,4:00 p.m.,11:00 a.m.,750.0,3.0,2.0
Disney's Coronado Springs Resort,Disney's Animal Kingdom Resort Area,1133,"Check-in: Mar 30, 2025","Check-out: Apr 4, 2025",4.0,European,8,3:00 p.m.,11:00 a.m.,1951.0,6.0,4.0
Universal Aventura Hotel,Orlando,1164,"Check-in: Mar 27, 2025","Check-out: Apr 1, 2025",4.5,European,6,4:00 p.m.,11:00 a.m.,600.0,2.0,3.0
Sonesta Select San Francisco Airport Oyster Point Waterfront,Oyster Point,915,"Check-in: Mar 27, 2025","Check-out: Apr 1, 2025",4.0,European,6,,,,,
Hotel Riu Plaza Fisherman's Wharf,San Francisco,918,"Check-in: Mar 26, 2025","Check-out: Mar 31, 2025",4.0,European,8,4:00 p.m.,11:00 a.m.,531.0,1.0,1.0
Sonesta Es Suites San Francisco Airport Oyster Point,Oyster Point,972,"Check-in: Mar 27, 2025","Check-out: Apr 1, 2025",4.0,European,6,,,,,
Sonesta Es Suites San Francisco Airport San Bruno,San Bruno,997,"Check-in: Mar 26, 2025","Check-out: Mar 31, 2025",4.5,European,6,,,,,
Sonesta Silicon Valley,Silicon Valley,1060,"Check-in: Mar 26, 2025","Check-out: Mar 31, 2025",4.0,European,6,4:00 p.m.,11:00 a.m.,238.0,1.0,1.0
The Clift Royal Sonesta San Francisco,Near Union Square,1090,"Check-in: Mar 26, 2025","Check-out: Mar 31, 2025",4.5,European,8,4:00 p.m.,11:00 a.m.,372.0,2.0,3.0
River Terrace Inn,Napa,1123,"Check-in: Mar 26, 2025","Check-out: Mar 31, 2025",4.5,European,8,3:00 p.m.,11:00 a.m.,106.0,1.0,1.0
Argonaut Hotel,Fisherman's Wharf,1148,"Check-in: Mar 26, 2025","Check-out: Mar 31, 2025",4.5,European,8,3:00 p.m.,12:00 p.m.,252.0,1.0,1.0
Hilton San Francisco Union Square,"Theater District, San Francisco",1251,"Check-in: Mar 26, 2025","Check-out: Mar 31, 2025",3.5,European,8,3:00 p.m.,11:00 a.m.,1921.0,3.0,3.0
Parc 55 San Francisco A Hilton Hotel,San Francisco,1251,"Check-in: Mar 26, 2025","Check-out: Mar 31, 2025",4.0,European,8,3:00 p.m.,11:00 a.m.,32.0,2.0,2.0
Vino Bello Resort,Rocktram,1398,"Check-in: Mar 28, 2025","Check-out: Apr 2, 2025",4.0,European,8,4:00 p.m.,10:00 a.m.,182.0,1.0,2.0
Harbor Court Hotel,San Francisco,1405,"Check-in: Mar 27, 2025","Check-out: Apr 1, 2025",4.5,European,8,3:00 p.m.,11:00 a.m.,131.0,1.0,1.0
The Donatello,Union Square,1453,"Check-in: Mar 31, 2025","Check-out: Apr 5, 2025",4.5,European,8,3:00 p.m.,10:00 a.m.,94.0,1.0,1.0
Meritage Resort And Spa,Soscol Gateway South,1736,"Check-in: Mar 28, 2025","Check-out: Apr 2, 2025",,European,8,4:00 p.m.,11:00 a.m.,322.0,5.0,6.0
Fairmont San Francisco,Downtown San Francisco,1899,"Check-in: Mar 26, 2025","Check-out: Mar 31, 2025",4.0,European,8,4:00 p.m.,11:00 a.m.,606.0,2.0,2.0
